MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,temp_range,daily_precip,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12,YEAR_SINCE_2000,LINEAR_TEMP_TREND,YEAR_MONTH_INDEX,YEAR_SQUARED
5.1,-3.7,5.2,8.8,0.8129032258064516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35,-0.5950000000000001,-419,1225
6.5,-1.7,4.1,8.2,0.4571428571428572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35,-0.5950000000000001,-418,1225
11.0,0.7,4.2,10.3,0.9483870967741935,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35,-0.5950000000000001,-417,1225
15.5,6.3,3.7,9.2,2.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35,-0.5950000000000001,-416,1225
23.1,12.8,4.0,10.3,2.948387096774194,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35,-0.5950000000000001,-415,1225
25.8,16.7,3.0,9.100000000000001,0.3233333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-35,-0.5950000000000001,-414,1225
26.9,19.9,2.9,7.0,14.429032258064517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-35,-0.5950000000000001,-413,1225
30.5,22.3,2.5,8.2,2.667741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-35,-0.5950000000000001,-412,1225
25.9,16.2,3.5,9.7,2.9099999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-35,-0.5950000000000001,-411,1225
21.2,11.0,3.0,10.2,1.3774193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-35,-0.5950000000000001,-410,1225
15.1,5.7,2.9,9.399999999999999,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-35,-0.5950000000000001,-409,1225
7.1,-2.9,3.2,10.0,0.7354838709677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-35,-0.5950000000000001,-408,1225
5.5,-4.4,3.4,9.9,0.07741935483870968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34,-0.5780000000000001,-407,1156
9.4,-1.2,3.6,10.6,1.7642857142857142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34,-0.5780000000000001,-406,1156
11.5,3.3,3.7,8.2,5.161290322580645,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34,-0.5780000000000001,-405,1156
16.5,7.2,3.3,9.3,1.6833333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34,-0.5780000000000001,-404,1156
21.9,12.0,3.6,9.899999999999999,2.703225806451613,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34,-0.5780000000000001,-403,1156
24.2,16.2,3.4,8.0,2.95,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-34,-0.5780000000000001,-402,1156
28.6,21.1,3.0,7.5,4.551612903225807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34,-0.5780000000000001,-401,1156
30.8,23.8,3.4,7.0,3.393548387096774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-34,-0.5780000000000001,-400,1156
22.8,16.1,3.9,6.699999999999999,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-34,-0.5780000000000001,-399,1156
20.1,12.0,3.1,8.100000000000001,5.038709677419354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-34,-0.5780000000000001,-398,1156
14.3,3.4,2.7,10.9,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-34,-0.5780000000000001,-397,1156
6.4,-3.1,3.0,9.5,0.4129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-34,-0.5780000000000001,-396,1156
4.5,-4.7,3.5,9.2,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33,-0.561,-395,1089
6.4,-2.2,3.0,8.600000000000001,0.9714285714285714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33,-0.561,-394,1089
